,periodo,valor
0,1986-08-01,2.57
1,1986-09-01,2.94
2,1986-10-01,1.96
3,1986-11-01,2.37
4,1986-12-01,5.47
5,1987-01-01,11.0
6,1987-02-01,19.61
7,1987-03-01,11.95
8,1987-04-01,15.3
9,1987-05-01,24.63
10,1987-06-01,18.02
11,1987-07-01,8.91
12,1987-08-01,8.09
13,1987-09-01,7.99
14,1987-10-01,9.45
15,1987-11-01,12.92
16,1987-12-01,14.38
17,1988-01-01,16.78
18,1988-02-01,18.35
19,1988-03-01,16.59
20,1988-04-01,20.25
21,1988-05-01,18.65
22,1988-06-01,20.17
23,1988-07-01,24.69
24,1988-08-01,22.63
25,1988-09-01,26.25
26,1988-10-01,29.79
27,1988-11-01,28.41
28,1988-12-01,30.24
29,1989-01-01,22.97
30,1989-02-01,18.95
31,1989-03-01,20.41
32,1989-04-01,11.52
33,1989-05-01,11.43
34,1989-06-01,27.29
35,1989-07-01,33.15
36,1989-08-01,35.49
37,1989-09-01,38.58
38,1989-10-01,47.7
39,1989-11-01,48.41
40,1989-12-01,64.21
41,1990-01-01,67.6
42,1990-02-01,82.04
43,1990-03-01,36.76
44,1990-04-01,4.23
45,1990-05-01,5.69
46,1990-06-01,8.73
47,1990-07-01,13.79
48,1990-08-01,11.53
49,1990-09-01,15.21
50,1990-10-01,16.49
51,1990-11-01,19.83
52,1990-12-01,22.86
53,1991-01-01,21.02
54,1991-02-01,6.85
55,1991-03-01,8.99
56,1991-04-01,9.67
57,1991-05-01,9.56
58,1991-06-01,10.32
59,1991-07-01,12.39
60,1991-08-01,15.75
61,1991-09-01,19.78
62,1991-10-01,25.95
63,1991-11-01,32.43
64,1991-12-01,31.17
65,1992-01-01,29.06
66,1992-02-01,28.76
67,1992-03-01,26.86
68,1992-04-01,23.92
69,1992-05-01,23.0
70,1992-06-01,24.28
71,1992-07-01,26.21
72,1992-08-01,25.65
73,1992-09-01,27.66
74,1992-10-01,28.18
75,1992-11-01,26.4
76,1992-12-01,25.92
77,1993-01-01,28.52
78,1993-02-01,28.9
79,1993-03-01,28.36
80,1993-04-01,30.53
81,1993-05-01,30.9
82,1993-06-01,31.91
83,1993-07-01,32.73
84,1993-08-01,34.64
85,1993-09-01,37.23
86,1993-10-01,38.4
87,1993-11-01,38.38
88,1993-12-01,40.38
89,1994-01-01,42.76
90,1994-02-01,41.99
91,1994-03-01,46.42
92,1994-04-01,46.49
93,1994-05-01,47.95
94,1994-06-01,50.62
95,1994-07-01,6.87
96,1994-08-01,4.17
97,1994-09-01,3.83
98,1994-10-01,3.62
99,1994-11-01,4.07
100,1994-12-01,3.8
101,1995-01-01,3.37
102,1995-02-01,3.25
103,1995-03-01,4.26
104,1995-04-01,4.26
105,1995-05-01,4.25
106,1995-06-01,4.04
107,1995-07-01,4.02
108,1995-08-01,3.84
109,1995-09-01,3.32
110,1995-10-01,3.09
111,1995-11-01,2.88
112,1995-12-01,2.78
113,1996-01-01,2.58
114,1996-02-01,2.35
115,1996-03-01,2.22
116,1996-04-01,2.07
117,1996-05-01,2.01
